"","site","year","month","ppt","tmax","tmin"
"1101","SSM",2014,9,85.306999206543,33.3005981445312,18.1280994415283
"1102","SSM",2014,10,0.275999993085861,27.3048000335693,12.7560997009277
"1103","SSM",2014,11,9.47799968719482,17.7311992645264,2.84270000457764
"1104","SSM",2014,12,24.693000793457,12.0302000045776,2.46490001678467
"1105","SSM",2015,1,25.6430015563965,13.0400009155273,0.100000001490116
"1106","SSM",2015,2,31.2750015258789,18.3700008392334,3.55000019073486
"1107","SSM",2015,3,39.112003326416,21.7500019073486,7.29000043869019
"1108","SSM",2015,4,17.8790016174316,23.480001449585,7.73000049591064
"1109","SSM",2015,5,37.4330024719238,26.0700016021729,11.4100008010864
"1110","SSM",2015,6,13.2980003356934,36.9700012207031,18.810001373291
"1111","SSM",2015,7,19.9480018615723,36.0500030517578,20.3500003814697
"1112","SSM",2015,8,25.5820007324219,36.7800025939941,21.3700008392334
"1113","SSM",2015,9,22.1200008392334,34.1400032043457,18.7800006866455
"1114","SSM",2015,10,38.726001739502,26.6200008392334,13.2900009155273
"1115","SSM",2015,11,17.8819999694824,15.5200004577637,1.78000009059906
"1116","SSM",2015,12,24.677001953125,10.2400007247925,-1.54000008106232
"1117","SSM",2016,1,45.0370025634766,10.6700000762939,-0.200000002980232
"1118","SSM",2016,2,16.2560005187988,17.3299999237061,1.96000003814697
"1119","SSM",2016,3,21.9240016937256,20.6600017547607,5.72000026702881
"1120","SSM",2016,4,49.5540008544922,22.8700008392334,8.70000076293945
"1121","SSM",2016,5,5.5770001411438,27.0900020599365,12.3500003814697
"1122","SSM",2016,6,4.30200004577637,38.1500015258789,19.5
"1123","SSM",2016,7,17.5400009155273,38.6700019836426,20.0200004577637
"1124","SSM",2016,8,42.3470001220703,35.7600021362305,19.8000011444092
"1125","SSM",2016,9,27.863000869751,31.3200016021729,15.7200012207031
"1126","SSM",2016,10,11.8800001144409,27.1100006103516,12.3000001907349
"1127","SSM",2016,11,21.5130004882812,19.3600006103516,5.43000030517578
"1128","SSM",2016,12,75.3070068359375,10.7000007629395,-0.860000014305115
"1129","SSM",2017,1,83.0590057373047,9.61000061035156,0.330000013113022
"1130","SSM",2017,2,30.9380016326904,15.0800008773804,4.08000040054321
"1131","SSM",2017,3,21.1840019226074,21.980001449585,6.66000032424927
"1132","SSM",2017,4,8.01600074768066,23.3900012969971,7.93000030517578
"1133","SSM",2017,5,22.0900001525879,28.8000011444092,12.2200002670288
"1134","SSM",2017,6,0,37.7600021362305,18.8400001525879
"1135","SSM",2017,7,49.4100036621094,38.9200019836426,21.3700008392334
"1136","SSM",2017,8,20.9720001220703,36.9600028991699,20.8900012969971
"1137","SSM",2017,9,19.0420017242432,31.4600009918213,16.1490001678467
"1138","SSM",2017,10,0,26.3300018310547,9.14000034332275
"1139","SSM",2017,11,2.11400008201599,21.2000007629395,6.59000015258789
"1140","SSM",2017,12,2.49000000953674,14.0900011062622,-0.400000005960464
"1141","SSM",2018,1,38.5960006713867,14.8800010681152,1.5900000333786
"1142","SSM",2018,2,22.4550018310547,14.6800003051758,0.710000038146973
"1143","SSM",2018,3,28.4520015716553,17.7800006866455,4.49000024795532
"1144","SSM",2018,4,12.1250009536743,26.0700016021729,9.51000022888184
"1145","SSM",2018,5,9.45400047302246,29.8700008392334,13.4900007247925
"1146","SSM",2018,6,0,37.2100028991699,17.810001373291
"1147","SSM",2018,7,35.8630027770996,38.9400024414062,23.4000015258789
"1148","SSM",2018,8,27.2910003662109,37.7100028991699,21.3900012969971
"1149","SSM",2018,9,4.97500038146973,34.8300018310547,18.4400005340576
"1150","SSM",2018,10,50.9630012512207,22.9200019836426,9.80000019073486
"1151","SSM",2018,11,17.488000869751,16.2700004577637,1.83000004291534
"1152","SSM",2018,12,22.3920001983643,11.7400007247925,-0.180000007152557
"1153","CIMA",1995,1,77.0440063476562,10.5799999237061,1.78709995746613
"1154","CIMA",1995,2,14.8880004882812,18.4662990570068,4.55959987640381
"1155","CIMA",1995,3,39.8440017700195,16.9983997344971,4.90789985656738
"1156","CIMA",1995,4,8.60900020599365,21.0041007995605,7.25979995727539
"1157","CIMA",1995,5,7.4810004234314,24.6443004608154,11.2610998153687
"1158","CIMA",1995,6,2.53200006484985,31.2140998840332,16.0081996917725
"1159","CIMA",1995,7,0.823000013828278,36.9384002685547,21.8034000396729
"1160","CIMA",1995,8,18.2850017547607,37.2649993896484,23.3490009307861
"1161","CIMA",1995,9,6.65000009536743,33.6470985412598,18.9158000946045
"1162","CIMA",1995,10,0,26.5216999053955,9.87810039520264
"1163","CIMA",1995,11,0,21.5219993591309,6.32390022277832
"1164","CIMA",1995,12,7.4200005531311,14.4020004272461,1.30340003967285
"1165","CIMA",1996,1,1.53600001335144,14.7882995605469,0.799199998378754
"1166","CIMA",1996,2,25.7730007171631,17.4281997680664,4.61040019989014
"1167","CIMA",1996,3,5.93300008773804,19.8712997436523,5.53340005874634
"1168","CIMA",1996,4,0,24.7173004150391,9.07009983062744
"1169","CIMA",1996,5,5.65300035476685,29.3906993865967,14.2322998046875
"1170","CIMA",1996,6,0,35.1707000732422,18.9036998748779
"1171","CIMA",1996,7,18.7950000762939,38.0789985656738,24.2744998931885
"1172","CIMA",1996,8,4.19700002670288,37.4612998962402,22.679500579834
"1173","CIMA",1996,9,4.54700040817261,31.0237998962402,17.1084995269775
"1174","CIMA",1996,10,8.16300010681152,24.6578998565674,10.1503000259399
"1175","CIMA",1996,11,22.0650005340576,17.8518009185791,5.49179983139038
"1176","CIMA",1996,12,7.95900058746338,12.5846996307373,1.33379995822906
"1177","CIMA",1997,1,24.4890003204346,12.1012001037598,1.76209998130798
"1178","CIMA",1997,2,5.14000034332275,15.395899772644,2.04670000076294
"1179","CIMA",1997,3,0,22.5503005981445,5.19910001754761
"1180","CIMA",1997,4,1.04700005054474,22.486499786377,8.57279968261719
"1181","CIMA",1997,5,1.60000002384186,31.5620002746582,16.1608009338379
"1182","CIMA",1997,6,0,32.567798614502,19.127799987793
"1183","CIMA",1997,7,10.5080003738403,35.9188003540039,19.5321998596191
"1184","CIMA",1997,8,4.30200004577637,36.423999786377,22.6809005737305
"1185","CIMA",1997,9,65.172004699707,31.1273002624512,18.1772994995117
"1186","CIMA",1997,10,0,24.3264007568359,9.68430042266846
"1187","CIMA",1997,11,7.20800018310547,18.2261009216309,4.86059999465942
"1188","CIMA",1997,12,9.73200035095215,11.1169004440308,-0.185100004076958
"1189","CIMA",1998,1,9.52200031280518,13.3210000991821,0.865899980068207
"1190","CIMA",1998,2,107.476005554199,11.7707996368408,1.82400000095367
"1191","CIMA",1998,3,49.3270034790039,17.3696002960205,4.27880001068115
"1192","CIMA",1998,4,8.96100044250488,19.1371002197266,5.17770004272461
"1193","CIMA",1998,5,5.03300046920776,24.2252006530762,10.2242002487183
"1194","CIMA",1998,6,0,30.4463996887207,15.8562002182007
"1195","CIMA",1998,7,25.1660003662109,37.4626998901367,22.2817001342773
"1196","CIMA",1998,8,24.4400005340576,36.9504013061523,22.3313999176025
"1197","CIMA",1998,9,40.2850036621094,30.2840003967285,16.6821994781494
"1198","CIMA",1998,10,7.5310001373291,23.2996006011963,9.15789985656738
"1199","CIMA",1998,11,7.0310001373291,17.1322994232178,3.46519994735718
"1200","CIMA",1998,12,2.67700004577637,13.0317001342773,0.701799988746643
"1201","CIMA",1999,1,5.05400037765503,15.145299911499,1.74240005016327
"1202","CIMA",1999,2,5.16000032424927,15.858699798584,2.04250001907349
"1203","CIMA",1999,3,1.17900002002716,20.0881004333496,4.8668999671936
"1204","CIMA",1999,4,22.576000213623,18.8491992950439,5.86560010910034
"1205","CIMA",1999,5,5.84400033950806,26.9542007446289,12.6646995544434
"1206","CIMA",1999,6,2.94000005722046,32.8524017333984,18.1714992523193
"1207","CIMA",1999,7,85.8110046386719,34.5503997802734,21.4563999176025
"1208","CIMA",1999,8,7.44000053405762,35.0382995605469,20.7183990478516
"1209","CIMA",1999,9,23.6790008544922,31.8605003356934,17.3607006072998
"1210","CIMA",1999,10,0,27.9801998138428,10.9949998855591
"1211","CIMA",1999,11,0,20.5349998474121,5.6943998336792
"1212","CIMA",1999,12,0,14.0967998504639,0.926199972629547
"1213","CIMA",2000,1,0.771000027656555,14.6963996887207,2.21609997749329
"1214","CIMA",2000,2,44.620002746582,15.3891000747681,3.76270008087158
"1215","CIMA",2000,3,12.4280004501343,18.2716999053955,5.03380012512207
"1216","CIMA",2000,4,2.93700003623962,25.4650993347168,10.4547004699707
"1217","CIMA",2000,5,0,30.6742992401123,15.6791000366211
"1218","CIMA",2000,6,0,35.0392990112305,20.5631008148193
"1219","CIMA",2000,7,0,36.9412002563477,22.4710006713867
"1220","CIMA",2000,8,19.8500003814697,35.7813987731934,22.6245002746582
"1221","CIMA",2000,9,0,32.1074981689453,16.7499008178711
"1222","CIMA",2000,10,16.5130004882812,23.1627006530762,10.8268003463745
"1223","CIMA",2000,11,0,14.3036003112793,1.57519996166229
"1224","CIMA",2000,12,0.270000010728836,14.9259996414185,1.9835000038147
"1225","CIMA",2001,1,41.1870002746582,11.2911996841431,0.384600013494492
"1226","CIMA",2001,2,44.5390014648438,12.4569997787476,1.34019994735718
"1227","CIMA",2001,3,23.802001953125,18.9969005584717,5.46080017089844
"1228","CIMA",2001,4,4.2180004119873,21.4431991577148,7.73360013961792
"1229","CIMA",2001,5,0,32.0438995361328,16.0464992523193
"1230","CIMA",2001,6,0,35.2980003356934,19.8145999908447
"1231","CIMA",2001,7,26.9240016937256,35.9037017822266,21.5072002410889
"1232","CIMA",2001,8,8.84000015258789,36.9023017883301,22.4169006347656
"1233","CIMA",2001,9,0,33.984001159668,18.324800491333
"1234","CIMA",2001,10,0.702000021934509,27.24880027771,12.2618999481201
"1235","CIMA",2001,11,7.46100044250488,18.9953994750977,6.31010007858276
"1236","CIMA",2001,12,2.52300000190735,10.9549999237061,-0.549700021743774
